Date/Time,Base,count
2014-04-01,B02512,1011
2014-04-01,B02598,3738
2014-04-01,B02617,3219
2014-04-01,B02682,6255
2014-04-01,B02764,323
2014-04-02,B02512,1336
2014-04-02,B02598,4526
2014-04-02,B02617,3752
2014-04-02,B02682,7515
2014-04-02,B02764,345
2014-04-03,B02512,1482
2014-04-03,B02598,5499
2014-04-03,B02617,4254
2014-04-03,B02682,9061
2014-04-03,B02764,405
2014-04-04,B02512,1827
2014-04-04,B02598,7151
2014-04-04,B02617,5387
2014-04-04,B02682,11865
2014-04-04,B02764,484
2014-04-05,B02512,1309
2014-04-05,B02598,5508
2014-04-05,B02617,3691
2014-04-05,B02682,8640
2014-04-05,B02764,373
2014-04-06,B02512,820
2014-04-06,B02598,3828
2014-04-06,B02617,2747
2014-04-06,B02682,5840
2014-04-06,B02764,210
2014-04-07,B02512,1376
2014-04-07,B02598,5336
2014-04-07,B02617,4009
2014-04-07,B02682,8537
2014-04-07,B02764,292
2014-04-08,B02512,1023
2014-04-08,B02598,4781
2014-04-08,B02617,3345
2014-04-08,B02682,6763
2014-04-08,B02764,276
2014-04-09,B02512,1167
2014-04-09,B02598,4812
2014-04-09,B02617,3439
2014-04-09,B02682,7100
2014-04-09,B02764,325
2014-04-10,B02512,1274
2014-04-10,B02598,6061
2014-04-10,B02617,3974
2014-04-10,B02682,8360
2014-04-10,B02764,372
2014-04-11,B02512,1362
2014-04-11,B02598,6213
2014-04-11,B02617,4075
2014-04-11,B02682,8452
2014-04-11,B02764,318
2014-04-12,B02512,1087
2014-04-12,B02598,5908
2014-04-12,B02617,3302
2014-04-12,B02682,7505
2014-04-12,B02764,368
2014-04-13,B02512,783
2014-04-13,B02598,3803
2014-04-13,B02617,2316
2014-04-13,B02682,5000
2014-04-13,B02764,210
2014-04-14,B02512,854
2014-04-14,B02598,3889
2014-04-14,B02617,2460
2014-04-14,B02682,5228
2014-04-14,B02764,243
2014-04-15,B02512,1391
2014-04-15,B02598,6327
2014-04-15,B02617,4135
2014-04-15,B02682,8460
2014-04-15,B02764,328
2014-04-16,B02512,1059
2014-04-16,B02598,5727
2014-04-16,B02617,3500
2014-04-16,B02682,7139
2014-04-16,B02764,292
2014-04-17,B02512,1343
2014-04-17,B02598,6948
2014-04-17,B02617,4013
2014-04-17,B02682,8305
2014-04-17,B02764,364
2014-04-18,B02512,953
2014-04-18,B02598,6154
2014-04-18,B02617,3328
2014-04-18,B02682,7289
2014-04-18,B02764,350
2014-04-19,B02512,851
2014-04-19,B02598,5082
2014-04-19,B02617,2645
2014-04-19,B02682,5775
2014-04-19,B02764,249
2014-04-20,B02512,615
2014-04-20,B02598,3674
2014-04-20,B02617,1985
2014-04-20,B02682,4498
2014-04-20,B02764,245
2014-04-21,B02512,744
2014-04-21,B02598,4592
2014-04-21,B02617,2354
2014-04-21,B02682,5258
2014-04-21,B02764,214
2014-04-22,B02512,959
2014-04-22,B02598,6015
2014-04-22,B02617,3115
2014-04-22,B02682,6612
2014-04-22,B02764,274
2014-04-23,B02512,1196
2014-04-23,B02598,7288
2014-04-23,B02617,3771
2014-04-23,B02682,7740
2014-04-23,B02764,351
2014-04-24,B02512,1394
2014-04-24,B02598,8232
2014-04-24,B02617,4375
2014-04-24,B02682,8938
2014-04-24,B02764,413
2014-04-25,B02512,1410
2014-04-25,B02598,9356
2014-04-25,B02617,4505
2014-04-25,B02682,9462
2014-04-25,B02764,362
2014-04-26,B02512,1418
2014-04-26,B02598,9468
2014-04-26,B02617,4184
2014-04-26,B02682,9410
2014-04-26,B02764,445
2014-04-27,B02512,848
2014-04-27,B02598,5595
2014-04-27,B02617,2660
2014-04-27,B02682,5335
2014-04-27,B02764,239
2014-04-28,B02512,971
2014-04-28,B02598,5753
2014-04-28,B02617,2714
2014-04-28,B02682,5791
2014-04-28,B02764,246
2014-04-29,B02512,1487
2014-04-29,B02598,8515
2014-04-29,B02617,4099
2014-04-29,B02682,8348
2014-04-29,B02764,386
2014-04-30,B02512,2186
2014-04-30,B02598,13484
2014-04-30,B02617,6648
2014-04-30,B02682,13327
2014-04-30,B02764,606
2014-05-01,B02512,1368
2014-05-01,B02598,8814
2014-05-01,B02617,4236
2014-05-01,B02682,8582
2014-05-01,B02764,375
2014-05-02,B02512,1467
2014-05-02,B02598,9394
2014-05-02,B02617,4289
2014-05-02,B02682,8752
2014-05-02,B02764,333
2014-05-03,B02512,1287
2014-05-03,B02598,8946
2014-05-03,B02617,3439
2014-05-03,B02682,8240
2014-05-03,B02764,322
2014-05-04,B02512,890
2014-05-04,B02598,5378
2014-05-04,B02617,2430
2014-05-04,B02682,5038
2014-05-04,B02764,182
2014-05-05,B02512,1173
2014-05-05,B02598,7035
2014-05-05,B02617,2992
2014-05-05,B02682,6403
2014-05-05,B02764,256
2014-05-06,B02512,1283
2014-05-06,B02598,7586
2014-05-06,B02617,3466
2014-05-06,B02682,6660
2014-05-06,B02764,305
2014-05-07,B02512,1221
2014-05-07,B02598,8672
2014-05-07,B02617,3920
2014-05-07,B02682,7729
2014-05-07,B02764,349
2014-05-08,B02512,1575
2014-05-08,B02598,10784
2014-05-08,B02617,4802
2014-05-08,B02682,9918
2014-05-08,B02764,434
2014-05-09,B02512,1554
2014-05-09,B02598,10469
2014-05-09,B02617,4591
2014-05-09,B02682,9414
2014-05-09,B02764,357
2014-05-10,B02512,1318
2014-05-10,B02598,9372
2014-05-10,B02617,3630
2014-05-10,B02682,7910
2014-05-10,B02764,320
2014-05-11,B02512,767
2014-05-11,B02598,6198
2014-05-11,B02617,2613
2014-05-11,B02682,5117
2014-05-11,B02764,206
2014-05-12,B02512,1023
2014-05-12,B02598,7115
2014-05-12,B02617,3021
2014-05-12,B02682,6075
2014-05-12,B02764,236
2014-05-13,B02512,1149
2014-05-13,B02598,7873
2014-05-13,B02617,3443
2014-05-13,B02682,6719
2014-05-13,B02764,314
2014-05-14,B02512,1203
2014-05-14,B02598,9002
2014-05-14,B02617,3995
2014-05-14,B02682,7721
2014-05-14,B02764,297
2014-05-15,B02512,1407
2014-05-15,B02598,10577
2014-05-15,B02617,4798
2014-05-15,B02682,9159
2014-05-15,B02764,360
2014-05-16,B02512,1750
2014-05-16,B02598,12991
2014-05-16,B02617,5982
2014-05-16,B02682,11284
2014-05-16,B02764,486
2014-05-17,B02512,1149
2014-05-17,B02598,9327
2014-05-17,B02617,3856
2014-05-17,B02682,7635
2014-05-17,B02764,327
2014-05-18,B02512,991
2014-05-18,B02598,6901
2014-05-18,B02617,2988
2014-05-18,B02682,5445
2014-05-18,B02764,183
2014-05-19,B02512,1089
2014-05-19,B02598,7300
2014-05-19,B02617,3502
2014-05-19,B02682,6090
2014-05-19,B02764,334
2014-05-20,B02512,1293
2014-05-20,B02598,8291
2014-05-20,B02617,3856
2014-05-20,B02682,7119
2014-05-20,B02764,301
2014-05-21,B02512,1377
2014-05-21,B02598,9241
2014-05-21,B02617,4549
2014-05-21,B02682,7963
2014-05-21,B02764,378
2014-05-22,B02512,1480
2014-05-22,B02598,10479
2014-05-22,B02617,5440
2014-05-22,B02682,9029
2014-05-22,B02764,374
2014-05-23,B02512,1349
2014-05-23,B02598,10629
2014-05-23,B02617,5366
2014-05-23,B02682,8754
2014-05-23,B02764,367
2014-05-24,B02512,705
2014-05-24,B02598,5910
2014-05-24,B02617,2959
2014-05-24,B02682,4864
2014-05-24,B02764,213
2014-05-25,B02512,544
2014-05-25,B02598,4306
2014-05-25,B02617,2312
2014-05-25,B02682,3505
2014-05-25,B02764,174
2014-05-26,B02512,471
2014-05-26,B02598,4284
2014-05-26,B02617,2196
2014-05-26,B02682,3074
2014-05-26,B02764,177
2014-05-27,B02512,936
2014-05-27,B02598,6801
2014-05-27,B02617,3496
2014-05-27,B02682,5532
