,date,count
182,2016-07-01,12782
183,2016-07-02,9794
184,2016-07-03,9437
185,2016-07-04,11173
186,2016-07-05,11358
187,2016-07-06,10914
188,2016-07-07,11135
189,2016-07-08,12609
190,2016-07-09,12067
191,2016-07-10,12271
192,2016-07-11,13999
193,2016-07-12,14041
194,2016-07-13,13860
195,2016-07-14,13994
196,2016-07-15,13399
197,2016-07-16,12256
198,2016-07-17,12290
199,2016-07-18,12408
200,2016-07-19,13730
201,2016-07-20,13833
202,2016-07-21,14020
203,2016-07-22,13192
204,2016-07-23,11921
205,2016-07-24,11989
206,2016-07-25,13167
207,2016-07-26,12977
208,2016-07-27,13278
209,2016-07-28,13198
210,2016-07-29,13031
211,2016-07-30,12000
212,2016-07-31,11844
213,2016-08-01,13249
214,2016-08-02,13228
215,2016-08-03,13262
216,2016-08-04,13294
217,2016-08-05,12746
218,2016-08-06,11730
219,2016-08-07,11463
220,2016-08-08,12925
221,2016-08-09,12680
222,2016-08-10,12613
223,2016-08-11,11943
224,2016-08-12,11879
225,2016-08-13,11347
226,2016-08-14,11995
227,2016-08-15,12747
228,2016-08-16,12477
229,2016-08-17,13133
230,2016-08-18,12724
231,2016-08-19,12427
232,2016-08-20,11474
233,2016-08-21,11155
234,2016-08-22,12882
235,2016-08-23,13108
236,2016-08-24,12947
237,2016-08-25,12987
238,2016-08-26,12698
239,2016-08-27,11791
240,2016-08-28,11738
241,2016-08-29,13050
242,2016-08-30,13072
243,2016-08-31,13052
244,2016-09-01,13139
245,2016-09-02,13283
246,2016-09-03,12092
247,2016-09-04,11783
248,2016-09-05,13198
249,2016-09-06,13294
250,2016-09-07,13667
251,2016-09-08,13986
252,2016-09-09,13546
253,2016-09-10,12137
254,2016-09-11,12402
255,2016-09-12,13713
256,2016-09-13,13504
257,2016-09-14,14258
258,2016-09-15,13949
259,2016-09-16,13579
260,2016-09-17,12298
261,2016-09-18,12764
262,2016-09-19,12838
263,2016-09-20,13482
264,2016-09-21,13252
265,2016-09-22,12645
266,2016-09-23,13625
267,2016-09-24,12869
268,2016-09-25,12668
269,2016-09-26,13401
270,2016-09-27,13536
271,2016-09-28,13328
272,2016-09-29,13252
273,2016-09-30,13005
274,2016-10-01,12129
275,2016-10-02,12216
276,2016-10-03,13583
277,2016-10-04,13823
278,2016-10-05,13869
279,2016-10-06,13147
280,2016-10-07,12894
281,2016-10-08,12273
282,2016-10-09,12228
283,2016-10-10,12164
284,2016-10-11,13068
285,2016-10-12,13291
286,2016-10-13,13253
287,2016-10-14,13074
288,2016-10-15,12336
289,2016-10-16,12288
290,2016-10-17,13491
291,2016-10-18,13800
292,2016-10-19,13505
293,2016-10-20,13318
294,2016-10-21,13087
295,2016-10-22,11967
296,2016-10-23,12232
297,2016-10-24,13430
298,2016-10-25,13377
299,2016-10-26,13551
300,2016-10-27,13191
301,2016-10-28,13157
302,2016-10-29,12018
303,2016-10-30,11835
304,2016-10-31,13216
305,2016-11-01,13471
306,2016-11-02,13202
307,2016-11-03,12189
308,2016-11-04,12677
309,2016-11-05,11920
310,2016-11-06,12130
311,2016-11-07,13162
312,2016-11-08,13426
313,2016-11-09,12964
314,2016-11-10,13086
315,2016-11-11,12808
316,2016-11-12,11850
317,2016-11-13,11847
318,2016-11-14,13290
319,2016-11-15,13456
320,2016-11-16,13098
321,2016-11-17,12918
322,2016-11-18,12794
323,2016-11-19,11828
324,2016-11-20,11869
325,2016-11-21,13021
326,2016-11-22,12687
327,2016-11-23,12025
328,2016-11-24,12769
329,2016-11-25,12581
330,2016-11-26,12030
331,2016-11-27,11912
332,2016-11-28,13187
333,2016-11-29,12988
334,2016-11-30,12870
